"x","y","frame","sd"
33392.87,50813.12,4,18.95432
30107.82,55260.97,36,6.688794
31754.99,52543.55,36,17.98579
33605.35,47957.45,36,14.06009
35103,49755.95,36,23.89144
29919.29,55250.73,37,19.06512
33134.11,51667.85,37,10.98273
28480.52,59428.89,38,21.97458
29354.06,48303.8,38,8.36681
30377.31,55736.52,38,17.13078
33337.9,50804.78,38,8.901869
34976.64,49122.65,38,7.978789
26372.94,50077.68,39,10.19034
31792.41,56923.18,39,12.86371
31819.39,48035.02,39,21.33754
33339.61,50763.43,39,10.0461
34384.42,50719.54,39,10.98279
34989.91,49109.16,39,12.45828
28512.76,59465.57,40,11.26012
30119.52,53603.98,40,14.86634
30756.28,53175.41,40,23.0101
31661.65,56309.32,40,6.941809
33337.17,50770.48,40,3.863484
33630.86,51493.71,40,4.214905
34376.11,50712.75,40,8.312223
26633.24,49984.73,41,14.91828
29360.17,51438.11,41,11.71125
30897.49,57637.47,41,16.20011
31670.53,56314.35,41,19.76472
33623.57,51496.3,41,7.667208
33682.8,52821.67,41,20.28515
27016.49,49378.41,48,13.04694
27046.96,49372.04,49,17.7052
35520.6,48969.9,50,21.44163
32448.15,46205.51,51,24.60539
31902.09,54294.11,52,17.37873
33883.48,49558.98,59,18.21917
29856.5,53829.46,61,22.23476
27029.08,49370.2,69,10.08262
27035.48,49366.31,70,11.12916
27020.22,49328.18,71,17.73134
35044.07,49123.28,72,19.20577
31686.05,56298.95,75,23.8833
33917.15,51811.49,75,12.13967
31348.41,58558.27,81,20.17718
30180.44,55179.64,83,24.34182
29394.5,48315.41,84,13.80288
29399.78,48312.22,85,13.0949
30150.89,55224.89,85,15.91555
30784.49,53169.68,85,20.85071
27027.46,49370.88,87,13.55726
26686.24,50019.2,88,24.02752
33539.38,49258.91,88,22.42184
29842.45,53759.54,90,23.8816
31448.92,51336.52,99,17.54734
30963.57,52349.5,107,19.90775
33958.75,51800.86,110,16.41502
33603.2,49308.84,111,20.56366
31535.2,51372.05,113,19.03492
26681.78,49970.61,118,23.32013
29106.15,48145.27,122,14.99665
33992.84,48942.97,122,20.58976
28856.93,49129.96,123,21.24864
28855.17,49119.04,124,20.18553
31400.59,57761.26,124,19.8427
34974.01,48915.58,129,16.01778
26425.41,50021.58,138,18.96443
30964.38,54604.46,138,21.16288
31207.03,57493.16,139,15.50785
31404.52,51339.07,139,9.643494
31640.09,56287.14,139,7.241168
31760.04,52530.5,139,6.990116
30102.58,50017.69,140,8.770211
30270.67,51838.7,140,11.99178
31408.63,51337.05,140,10.36126
31345.87,55942.83,140,12.82427
29063.4,48119.7,141,11.1337
29347.87,54825.25,141,18.12253
31718.84,52524.75,142,21.83922
29666.47,55821.64,143,17.16608
34857.23,49553.45,143,13.56818
28928.78,58899.12,144,19.43784
29723.67,53135.1,144,23.11485
29692.67,55832.8,144,14.49256
30096.71,55256.95,144,11.95159
29685.66,55853.59,145,4.680072
28550.64,50834.21,146,10.27791
29676.41,55863.54,146,6.467062
33736.05,52844.25,146,7.037559
27019.35,51742.96,147,22.93999
29031.79,52651.86,147,7.148448
29801.58,53795.2,147,10.55338
31164.78,57472.74,147,20.53984
31855.62,48051.38,147,19.42772
33738.03,52841.51,147,14.71902
28530.97,50839.78,148,14.60261
29696.25,55845.59,148,13.53873
31861.79,55181.4,148,8.350506
28533.37,50838.49,149,8.849589
32319.1,55716.87,149,16.70619
33631.7,51509.83,149,12.98645
27556.79,55267.11,150,9.372983
29359.68,58000.99,150,22.67944
32328.43,55725.94,150,11.62049
29273.82,59323.09,151,23.92384
30097.73,54445.9,151,24.80907
31864.65,55174.1,151,13.37315
32528.05,54794.8,151,11.408
33600.96,47939.24,151,7.01967
29154.62,53941.02,152,21.97553
31411.9,51416.57,152,21.21247
29727.74,49321.74,153,15.26227
30271.43,51853.69,153,16.63644
31840.03,48052.46,153,9.173946
29319.07,58009.26,154,10.33031
30096.39,55252.29,154,12.5201
32694.03,49094.07,154,15.35479
26992.96,49373.13,155,14.61429
31861.73,55182.88,155,8.404532
33571.3,49259.48,155,17.07882
26974.19,49370.98,156,3.89961
29690.05,55836.35,156,8.586059
31866.59,55170.62,156,15.89436
26975.91,49367.88,157,5.561194
28538.47,50848.92,157,22.89176
29687.68,55852.45,157,5.508021
30093.68,50030.3,157,7.726406
29718.38,55865.34,158,9.509544
32076.6,48458.18,158,21.13352
30187.51,53546.18,159,24.2176
30722.38,53165.44,159,17.70387
32063.16,48465.96,159,4.89876
33075.37,50664.13,159,15.46477
28555.41,50833.23,160,24.88048
29810.46,53778.3,160,7.405618
30846.79,48202.88,160,23.27169
30250.13,51822.5,161,15.00943
33271.49,50250.16,161,11.10269
33068.32,50682.59,162,22.38822
32527.47,47661.54,163,11.90154
32509.02,49112.46,163,15.33735
35882.61,47612.22,163,12.71932
29812.22,53783.8,164,7.300126
32526.96,54780.07,164,19.03014
33637.11,51510.19,164,6.921097
30192.83,53569.63,165,16.94713
32554.2,54004,165,14.55643
29729.12,55876.68,166,11.37812
30188.8,53550.86,166,12.00725
30277.12,59360.1,166,6.515527
31809.88,52540.24,166,11.52504
34917.4,49520.64,166,12.6551
28537.19,50814.63,167,6.316789
30191.49,53561.66,167,15.74791
31959.22,53237.43,167,23.71305
33548.34,49305.32,167,13.72469
28200.43,52438.05,168,13.40183
28527.64,50834.08,168,17.22513
29907.19,52171.18,168,14.74441
30198.47,53566.69,168,20.16502
31928.92,53240.29,168,15.93432
32519.75,54795.88,168,20.29412
32726.43,49110.66,168,11.69099
35862.38,47637.87,168,22.15316
29924.02,52173.89,169,4.944246
30227.34,53508.15,169,24.02017
32305.25,55792.21,169,6.927754
32422.58,46211.67,169,12.65777
